comuna,zona_prc,nombre_zona,categorias,zona_ds38,limite_dia,limite_noche,fundamento
Puente Alto,E(i)3,E(i)3 Zona de Equipamiento Recreacional y Deportivo,Eq+Inf+EP+AV,Zona III,65,50,PRC Puente Alto E(i)3 corresponde a equipamiento recreacional y deportivo. La capa territorial informa además infraestructura sanitaria y de transporte sin limitarla exclusivamente a redes o trazados; se considera Inf para homologación y corresponde Zona III.
Puente Alto,E(i)4,E(i)4 Zona de Equipamiento Intercomunal de Interés Metropolitano,R+Eq+Inf+EP+AV,Zona III,65,50,"PRC Puente Alto E(i)4 corresponde a equipamiento intercomunal de interés metropolitano. La capa territorial informa usos residencial, equipamiento e infraestructura; aun prescindiendo de la inconsistencia del atributo sobre actividades productivas, la combinación R+Eq+Inf determina Zona III."
Puente Alto,E(c)1,E(c)1 Zona de Equipamiento de Educación Culto y Cultura,Eq+Inf,Zona III,65,50,PRC Puente Alto E(c)1 permite equipamiento y la capa territorial informa infraestructura de transporte y sanitaria sin precisar que corresponda sólo a redes o trazados. De acuerdo con Res. Ex. SMA N°491/2016 se considera Inf; Eq+Inf corresponde Zona III.
Puente Alto,E(c)2,E(c)2 Zona de Equipamiento de Deporte y Cultura,Eq+Inf,Zona III,65,50,"PRC Puente Alto E(c)2 permite equipamiento y admite terminales de locomoción colectiva interurbana. Al existir una instalación de infraestructura de transporte, la combinación Eq+Inf se homologa a Zona III."
Puente Alto,IM1,IM1 Zona de Actividad Productiva Exclusiva PRMS,Eq+AP+Inf+EP+AV,Zona III,65,50,"PRC Puente Alto IM1 permite determinados equipamientos, actividades productivas molestas y/o inofensivas e instalaciones de infraestructura vial, ferroviaria, energética, sanitaria y de transporte, además de espacio público y áreas verdes. Prohíbe actividades productivas peligrosas. Al combinar AP y/o Inf con Equipamiento, la Res. Ex. SMA N°491/2016 determina Zona III."
Puente Alto,IM2,IM2 Zona de Actividad Productiva Exclusiva Existente,Eq+AP+Inf,Zona III,65,50,"PRC Puente Alto IM2 permite determinados equipamientos y actividades productivas inofensivas y/o molestas, además de infraestructura de transporte. Al combinar AP y/o Inf con Equipamiento, corresponde Zona III conforme Res. Ex. SMA N°491/2016."
Puente Alto,II,II Zona de Actividad Productiva Inofensiva,Eq+Inf+EP+AV,Zona III,65,50,"PRC Puente Alto II permite exclusivamente actividades productivas de carácter inofensivo junto con instalaciones de infraestructura sanitaria, energética y de transferencia de residuos, además de espacio público y áreas verdes. La Res. Ex. SMA N°491/2016 asimila las actividades productivas expresamente inofensivas a Equipamiento; Eq+Inf corresponde Zona III."
Puente Alto,AV1,AV1 Zona Cerros Islas PRMS,Eq+AV,Zona II,60,45,"PRC Puente Alto AV1 corresponde a Cerros Islas y admite actividades recreacionales, deportivas, de culto, culturales, científicas, de esparcimiento y turismo al aire libre, asociables a Equipamiento, además de área verde. Eq+AV corresponde Zona II."
Puente Alto,AV2,AV2 Zona de Plazas y Áreas Verdes Comunales e Intercomunales,EP+AV,Zona I,55,45,"PRC Puente Alto AV2 permite espacio público y áreas verdes, además de vialidad y aguas lluvias. Estas últimas corresponden a redes o trazados y no se consideran infraestructura para homologación según Res. Ex. SMA N°491/2016. EP+AV corresponde Zona I."
Puente Alto,R1,R1 Zona de Protección Ecológica con Desarrollo Controlado PRMS,REVISAR,REVISAR,,,PRC Puente Alto R1 corresponde a Protección Ecológica con Desarrollo Controlado PEDC N°3 y remite sus condiciones de uso al artículo 8.3.1.2 del PRMS. Los antecedentes aportados no reproducen el detalle completo de los usos urbanos permitidos; se requiere revisión normativa específica antes de homologar.
Puente Alto,R2,R2 Zona de Riesgo de Origen Natural de Inundación de Quebradas y Cauces Artificiales,Eq+EP+AV,Zona II,60,45,"PRC Puente Alto R2 permite equipamiento de deporte y esparcimiento, espacio público y áreas verdes; la infraestructura indicada corresponde a vialidad y aguas lluvias, redes o trazados que no elevan la homologación. Eq+EP+AV corresponde Zona II."
Puente Alto,R3,R3 Zona de Equipamiento de Cementerios Existentes,Eq+EP+AV,Zona II,60,45,"PRC Puente Alto R3 permite equipamiento de salud asociado a cementerios, crematorios y velatorios, además de culto y cultura, espacio público y áreas verdes. Vialidad y aguas lluvias se tratan como redes o trazados. Corresponde Zona II."
Puente Alto,R4,R4 Zona de Equipamiento de Cementerios Parque,Eq+AV,Zona II,60,45,PRC Puente Alto R4 corresponde a cementerios parque regulados como área verde complementaria intercomunal con construcciones asociadas al uso de cementerio. Se considera Equipamiento combinado con Área Verde; corresponde Zona II.
Puente Alto,R5,R5 Zona de Riesgo de Derrumbes y Asentamiento del Suelo,EP+AV,Zona I,55,45,"PRC Puente Alto R5 corresponde a riesgo de derrumbes y asentamiento del suelo. La capa territorial actualizada registra como usos permitidos espacio público y áreas verdes y prohíbe residencial, equipamiento, actividad productiva e infraestructura. EP+AV corresponde Zona I."
Puente Alto,R6,R6 Zona de Parque Metropolitano del Río Maipo PRMS,Eq+AV,Zona II,60,45,"PRC Puente Alto R6 corresponde al Parque Metropolitano del Río Maipo y admite actividades recreacionales, deportivas, de culto, culturales, científicas, de esparcimiento y turismo al aire libre, asociables a Equipamiento, además de área verde. Corresponde Zona II."
Puente Alto,INF-1,INF-1 Zona Resguardo de Infraestructura Sanitaria,Inf,Zona IV,70,70,PRC Puente Alto INF-1 corresponde al resguardo de fuentes de abastecimiento y plantas de tratamiento de agua potable y aguas servidas. Son instalaciones de infraestructura sanitaria y no se acreditan usos residenciales ni de equipamiento combinados; corresponde Zona IV.
Puente Alto,INF-2,INF-2 Zona Resguardo de Infraestructura Energética,Inf+AV,Zona IV,70,70,PRC Puente Alto INF-2 permite infraestructura de subestaciones eléctricas y áreas verdes. El uso Área Verde no modifica la homologación del uso principal de infraestructura; Inf+AV se homologa como Zona IV.
Puente Alto,MH,MH Zona de Monumento Histórico,REVISAR,REVISAR,,,PRC Puente Alto MH corresponde al Monumento Histórico ex Viña San Carlos. La Ordenanza señala que las condiciones técnicas y usos de suelo permitidos serán definidos por los organismos competentes; no corresponde asignar una homologación automática.
